"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.498333329E-3,-2.679515809E-2,-2.114230388E-1,-1.501386055E0,1.516435876E0
1.645933333E-2,-5.256120622E-2,2.468103880E-1,-1.587421401E0,1.607353338E0
2.641933333E-2,-2.552382722E-1,7.952847710E-1,-1.527045976E0,1.740544126E0
3.637933332E-2,-4.194090843E-1,1.097406895E0,-1.628415061E0,2.007969493E0
4.633933335E-2,-4.011210403E-1,1.056392771E0,-2.078678733E0,2.365960492E0
5.629933334E-2,-5.245795901E-1,6.397590673E-1,-2.505854673E0,2.638898076E0
6.625933334E-2,1.253027616E-1,1.140224594E-1,-2.235382943E0,2.241793658E0
7.621933334E-2,6.649532577E-1,2.920301226E-1,-2.479336381E0,2.583515689E0
8.617933333E-2,1.203867151E-1,8.272824892E-1,-1.959296715E0,2.130195507E0
9.613933333E-2,-6.182120776E-1,1.174893905E0,-1.003956403E0,1.664478993E0
1.060993333E-1,-1.067663425E0,9.575871053E-1,-3.472936195E-1,1.475632445E0
1.160593333E-1,-1.213266258E0,6.012443349E-1,-5.436729419E-1,1.459140168E0
1.260203333E-1,-9.012627773E-1,4.698641235E-1,-9.711003131E-1,1.405732089E0
1.359803333E-1,-4.435708027E-1,5.055663452E-1,-1.437138019E0,1.586731884E0
1.459403333E-1,-7.038308099E-2,8.651265460E-1,-1.576511666E0,1.799662955E0
1.558999167E-1,1.287787852E-1,1.326809830E0,-1.343812364E0,1.892839129E0
1.658599167E-1,-7.856275097E-2,1.731688583E0,-1.082220215E0,2.043555247E0
1.758199167E-1,-3.871776237E-1,1.702638447E0,-1.434104483E0,2.259544171E0
1.857799167E-1,-6.472753707E-1,1.133550874E0,-1.864987559E0,2.276418587E0
1.957399167E-1,-8.703149267E-1,6.721634594E-1,-1.631557939E0,1.967544941E0
2.056999167E-1,-9.761853442E-1,3.315353733E-1,-3.771465790E-1,1.097767312E0
2.156599167E-1,-7.616207425E-1,-3.114881945E-1,9.781941551E-1,1.278262436E0
2.256209167E-1,-3.142419407E-1,-5.385651067E-1,1.312000587E0,1.452634129E0
2.355809167E-1,9.491211411E-2,-5.078543606E-1,1.334714681E0,1.431218935E0
2.455409167E-1,1.038552770E0,5.618159750E-1,2.667577549E0,2.917224541E0
2.555009167E-1,1.628159830E0,2.574670847E0,5.000685591E0,5.855483821E0
2.654609167E-1,1.326678268E0,2.165970938E0,4.316279524E0,5.008170750E0
2.754209167E-1,7.151644680E-1,1.032143783E0,5.896308875E-1,1.387243882E0
2.853809167E-1,1.697740526E-1,5.765199682E-1,-4.704353964E-1,7.632220941E-1
2.953409167E-1,-6.411618143E-2,6.709615642E-1,3.236673599E-1,7.477037282E-1
3.053009167E-1,-7.530026776E-1,1.831076047E-1,3.017905873E-1,8.316363303E-1
3.152609167E-1,-9.149641192E-1,-3.047068861E-1,9.706003761E-1,1.368236352E0
3.252219167E-1,-2.527647538E-1,-6.537304044E-1,2.030615789E0,2.148174561E0
3.351819167E-1,8.222962761E-1,-1.275881751E0,2.675588234E0,3.076169340E0
3.451419167E-1,1.213246377E0,-1.637910939E0,3.195506862E0,3.790248425E0
3.551019167E-1,1.041033597E0,-1.445674369E0,4.398866183E0,4.745919197E0
3.650619167E-1,1.097955364E0,-8.399332327E-1,5.013742424E0,5.200827521E0
3.750219167E-1,1.276591311E0,-3.434271482E-1,4.764028893E0,4.944046812E0
3.849819167E-1,1.087125736E0,-6.489371493E-1,3.911682606E0,4.111474505E0
3.949419167E-1,1.203800785E0,-1.084514662E0,2.277527334E0,2.795074085E0
4.049019167E-1,1.274803232E0,-1.214943239E0,2.231765270E-1,1.775110734E0
4.148619167E-1,1.065417071E0,-1.187636742E0,-9.087105221E-1,1.836123465E0
4.248229167E-1,1.266430897E0,-6.621299297E-1,-4.772848248E-2,1.429874564E0
4.347829167E-1,1.171039420E0,2.100682390E-1,1.594624001E0,1.989544595E0
4.447429167E-1,2.050840724E-1,1.823606229E-1,2.907040325E0,2.919965467E0
4.547029167E-1,-9.323590010E-1,-6.437766892E-1,2.015252815E0,2.311922499E0
4.646629167E-1,-1.496403642E0,-6.049400675E-1,-1.022354667E1,1.035017308E1
4.746229167E-1,-4.713651037E-1,-9.254049075E-1,-3.237544835E0,3.400037626E0
4.845829167E-1,-1.585684778E0,-1.677075589E0,2.770684426E0,3.606060307E0
4.945429167E-1,-3.714573551E0,-3.480824089E0,1.565657480E0,5.325924929E0
5.045029167E-1,-6.248370314E0,-5.224168512E0,1.216112098E0,8.234864714E0
5.144629167E-1,-7.836315626E0,-5.245731874E0,9.412929618E-1,9.476897062E0
5.244239167E-1,-8.195697194E0,-5.118721579E0,-7.409240842E-1,9.691219304E0
5.343839167E-1,-8.085753168E0,-4.551593701E0,-2.082522107E0,9.509642887E0
5.443439167E-1,-7.996151605E0,-4.073519210E0,-3.503091456E0,9.633465056E0
5.543039167E-1,-7.966816124E0,-4.455135693E0,-4.298954809E0,1.008956915E1
5.642639167E-1,-8.249250088E0,-5.510848725E0,-3.952925942E0,1.067919492E1
5.742239167E-1,-8.796637182E0,-7.048871094E0,-4.016360630E0,1.196656016E1
5.841839167E-1,-8.310823023E0,-7.609599195E0,-5.076380137E0,1.235902158E1
5.941439167E-1,-7.766468296E0,-7.555619454E0,-6.079046059E0,1.242417869E1
6.041039167E-1,-7.664573547E0,-8.362794245E0,-6.078874151E0,1.286991555E1
6.140639167E-1,-7.276657566E0,-9.483592050E0,-6.223759968E0,1.347677453E1
6.240249167E-1,-6.375395227E0,-1.006051577E1,-5.973334247E0,1.332442734E1
6.339849167E-1,-5.135422981E0,-1.025467373E1,-5.831417060E0,1.286609216E1
6.439449167E-1,-4.174799709E0,-1.045361004E1,-5.294923915E0,1.243957937E1
6.539049167E-1,-3.333726854E0,-1.107429783E1,-4.599370131E0,1.244620476E1
6.638649167E-1,-1.796920706E0,-1.158379497E1,-4.590364834E0,1.258906983E1
6.738249167E-1,1.437298232E-1,-1.154905549E1,-4.904286640E0,1.254804241E1
6.837849167E-1,1.773202645E0,-1.116519163E1,-4.412562701E0,1.213575137E1
6.937449167E-1,3.194568384E0,-1.029336710E1,-3.697150603E0,1.139419133E1
7.037049167E-1,5.221747180E0,-9.198497018E0,-2.646068566E0,1.090324125E1
7.136649167E-1,7.257264690E0,-8.327009286E0,-9.955750036E-1,1.109045283E1
7.236259167E-1,8.861272888E0,-7.289497467E0,4.568078756E-1,1.148336205E1
7.335859167E-1,1.005026209E1,-5.916984630E0,1.444231276E0,1.175177770E1
7.435459167E-1,1.024093745E1,-4.234698586E0,2.211486542E0,1.130044888E1
7.535059167E-1,1.050515676E1,-3.140519062E0,3.445527372E0,1.149316481E1
7.634659167E-1,1.160655467E1,-3.174715041E0,5.335196028E0,1.316264577E1
7.734259167E-1,1.333110439E1,-3.470083923E0,6.660484997E0,1.530104202E1
7.833859167E-1,1.481836708E1,-3.762786183E0,7.388394933E0,1.698031043E1
7.933459167E-1,1.656379837E1,-3.456445293E0,7.972272745E0,1.870464015E1
8.033059167E-1,1.703433785E1,-1.744782838E0,8.648303261E0,1.918348463E1
8.132659167E-1,1.603421839E1,-3.216424692E-1,9.472986370E0,1.862624718E1
8.232259167E-1,1.446397903E1,9.513326311E-1,9.775645854E0,1.748356300E1
8.331869167E-1,1.327674165E1,2.677248259E0,9.566163506E0,1.658164683E1
8.431469167E-1,1.197289209E1,3.817457065E0,8.243577704E0,1.502929462E1
8.531069167E-1,1.196737699E1,3.976899526E0,7.434493212E0,1.463917796E1
8.630669167E-1,1.286253191E1,4.071543143E0,7.221846936E0,1.530285150E1
8.730269167E-1,1.358475894E1,3.941220401E0,7.104545943E0,1.582888078E1
8.829869167E-1,1.392566682E1,3.301840233E0,8.115231906E0,1.645245678E1
8.929469167E-1,1.365474076E1,3.647168604E0,8.478200156E0,1.648131250E1
9.029069167E-1,1.246763553E1,4.997875419E0,8.457735486E0,1.587305843E1
9.128669167E-1,1.009865365E1,6.557923080E0,8.448300419E0,1.470928076E1
9.228269167E-1,6.503788973E0,8.745367625E0,9.622899624E0,1.453894505E1
9.327879167E-1,3.006331310E0,1.036917859E1,1.230507358E1,1.636987258E1
9.427479167E-1,6.584578782E-1,1.027501620E1,1.183598187E1,1.568757443E1
9.527079167E-1,3.773290122E-1,7.046681896E0,7.523427608E0,1.031504076E1
9.626679167E-1,4.707569933E-1,3.462266196E0,3.129663706E0,4.690809554E0
9.726279167E-1,9.131245852E-2,2.023044230E0,2.019042395E0,2.859646502E0
9.825879167E-1,9.878134096E-1,2.822053970E0,2.555494026E0,3.933231961E0
9.925479167E-1,1.972849976E0,3.049847458E0,2.876693276E0,4.633472861E0
1.002507917E0,1.728418821E0,2.265466282E0,2.305282313E0,3.665255194E0
1.012467917E0,7.268860888E-1,1.253605614E0,-1.702405143E-1,1.459065541E0
1.022427917E0,-3.812554175E-1,4.932360291E-2,-1.637168342E0,1.681698157E0
1.032388917E0,-1.963394444E0,-4.813503939E-1,-1.284374247E0,2.395043455E0
1.042348917E0,-4.859882299E0,-2.202410493E0,-1.793103059E0,5.628879686E0
1.052308917E0,-8.611243608E0,-4.059571846E0,-1.948656537E0,9.717556398E0
1.062268917E0,-1.003603698E1,-4.940495523E0,-9.109710556E-1,1.122320821E1
1.072228917E0,-8.189469325E0,-7.484868729E0,-7.550348774E-2,1.109488028E1
1.082188917E0,-5.024277937E0,-8.711102942E0,2.080513004E0,1.026913909E1
1.092148917E0,-2.308537458E0,-7.587971513E0,5.317322844E0,9.548852240E0
1.102108917E0,-1.812946755E-1,-3.788962706E0,6.927736081E0,7.898267744E0
1.112068917E0,7.679236025E-1,-8.572737354E-1,6.639937881E0,6.738946504E0
1.122028917E0,4.845704556E-1,-5.959043652E-1,4.341176676E0,4.408596769E0
1.131989917E0,3.018268400E-1,-8.264738193E-1,1.458730032E0,1.703540936E0
1.141949917E0,1.752457309E-1,-1.073841739E0,1.974037546E-1,1.105809834E0
1.151913792E0,-9.611360729E-2,-4.909632164E-1,-7.425990191E-1,8.953971234E-1
1.161873792E0,-3.614158148E-1,4.114726585E-1,-2.936270556E0,2.986907417E0
1.171833792E0,1.413956147E-1,-9.169764385E-1,-4.735223755E0,4.825265020E0
1.181793792E0,1.687236881E0,-3.666421731E0,-5.051469244E0,6.465814575E0
1.191753792E0,2.656156767E0,-5.108238106E0,-5.243245053E0,7.787225694E0
1.201713792E0,1.512878757E0,-4.682569870E0,-4.757119823E0,6.844373728E0
1.211673792E0,-4.598273778E-1,-3.367740400E0,-3.219743571E0,4.681865577E0
1.221633792E0,-2.153012631E0,-2.930031870E0,-1.115182723E0,3.803180597E0
1.231594792E0,-3.093698652E0,-3.414297978E0,1.033995596E0,4.722028052E0
1.241554792E0,-3.043338922E0,-3.884234314E0,3.605908896E0,6.111609196E0
1.251514792E0,-2.386266834E0,-4.416309304E0,4.777566952E0,6.929877578E0
1.261474792E0,-2.993082688E0,-4.664331235E0,3.678804964E0,6.651927225E0
1.271434792E0,-3.848654884E0,-4.849989980E0,2.588564416E0,6.710828038E0
1.281394792E0,-4.294653597E0,-4.970393506E0,1.606957241E0,6.762482731E0
1.291354792E0,-5.022160075E0,-4.236005732E0,7.104349476E-1,6.608370010E0
1.301314792E0,-5.385548156E0,-5.483186717E0,1.851710871E0,7.905586548E0
1.311274792E0,-3.887800823E0,-3.972195733E0,1.417801715E0,5.736156892E0
1.321234792E0,-2.845197834E0,-1.813355183E0,-4.277157851E-1,3.400933478E0
1.331195792E0,-1.272026682E0,-1.512439047E0,-1.371404205E0,2.405467365E0
1.341155792E0,-4.694255823E-1,-8.544980621E-1,-2.358709053E0,2.552260902E0
1.351115792E0,-3.945929164E-1,5.468894953E-1,-3.226449743E0,3.296175000E0
1.361075792E0,9.805149150E-1,5.563899343E0,-5.435788018E-1,5.675725796E0
1.371035792E0,2.053674869E0,1.033140558E1,5.342330216E0,1.181084306E1
1.380995792E0,3.365525767E0,1.344223189E1,7.347338124E0,1.568450635E1
1.390955792E0,4.134288445E0,1.419737523E1,6.379226907E0,1.610441990E1
1.400915792E0,4.055462131E0,1.393513112E1,5.120596197E0,1.539009935E1
1.410875792E0,3.453004206E0,1.294514839E1,4.361979023E0,1.408995976E1
1.420835792E0,2.342803311E0,1.136986757E1,5.371248205E0,1.279112673E1
1.430795792E0,2.373807587E0,9.299660865E0,5.623608770E0,1.112401143E1
1.440756792E0,3.627816659E0,7.589480095E0,4.110990214E0,9.362772152E0
1.450716792E0,4.427781249E0,4.273781961E0,3.335841208E0,6.999878256E0
1.460676792E0,5.101938316E0,2.055891256E0,1.995347577E0,5.851313989E0
1.470636792E0,5.014180965E0,1.323011479E0,2.267263716E-1,5.190739347E0
1.480596792E0,4.049818398E0,8.368885875E-2,-4.433399838E-1,4.074872173E0
1.490556792E0,3.371251945E0,2.547281027E-1,2.289120609E-1,3.388602487E0
1.500516792E0,2.920891210E0,1.404819581E0,5.012670337E-1,3.279693911E0
1.510476792E0,3.173299137E0,3.443473537E0,1.917695969E0,5.060127987E0
1.520436792E0,3.413234369E0,1.574520105E0,2.983273984E0,4.798875502E0
1.530396792E0,2.518243754E0,-1.021548043E0,7.898749271E-1,2.830020214E0
1.540357792E0,1.084601201E0,-2.599243478E0,-5.731119186E-1,2.874175307E0
