"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.859666668E-3,5.566572690E-1,6.786063601E-1,-3.925124770E-1,9.614780038E-1
1.681766668E-2,6.703809357E-1,5.644549696E-1,2.098524767E-1,9.011426489E-1
2.677666667E-2,6.446265820E-1,5.230682310E-1,5.063776463E-1,9.724001878E-1
3.673466668E-2,7.857991254E-1,5.864254439E-1,9.072931570E-1,1.335872726E0
4.669366666E-2,8.788005522E-1,5.800262511E-1,1.293561392E0,1.667939429E0
5.665166667E-2,7.129071504E-1,6.103312004E-1,1.697637908E0,1.939771957E0
6.661066666E-2,5.186047590E-1,5.286435512E-1,2.136727551E0,2.261419803E0
7.656866667E-2,2.889606267E-1,2.620768833E-1,2.384837190E0,2.416532838E0
8.652666668E-2,9.705033123E-2,-6.658999220E-2,2.581840410E0,2.584521793E0
9.648566667E-2,-3.230586648E-2,-3.202941012E-1,2.634899799E0,2.654492217E0
1.064436667E-1,2.513601065E-2,-4.257639845E-1,2.278314954E0,2.317892538E0
1.164026667E-1,3.931471923E-1,-4.789170751E-1,1.786157736E0,1.890578149E0
1.263606667E-1,6.118909451E-1,-5.068989256E-1,1.497461988E0,1.695213690E0
1.363196667E-1,3.645677564E-1,-7.031846926E-1,1.411254734E0,1.618338124E0
1.462776667E-1,-7.943559408E-2,-8.182906410E-1,8.174185288E-1,1.159345780E0
1.562366667E-1,1.362801781E-1,-6.831553477E-1,1.667450488E-2,6.968152949E-1
1.661946667E-1,9.132120010E-1,-3.714962684E-1,-7.039398605E-1,1.211402891E0
1.761526667E-1,1.796980348E0,-1.450599186E-1,-9.264726090E-1,2.026951466E0
1.861116667E-1,2.023059725E0,-3.213321282E-1,-4.489164734E-1,2.097033855E0
1.960696667E-1,1.139885455E0,-9.731962475E-1,3.541500646E-1,1.540088327E0
2.060286667E-1,1.159938481E-1,-1.647132583E0,1.124102066E0,1.997524912E0
2.159866667E-1,-4.950308320E-1,-1.972962243E0,1.753840175E0,2.685812893E0
2.259456667E-1,-5.416106290E-1,-2.051508037E0,2.460714169E0,3.249175514E0
2.359036667E-1,-3.724588662E-1,-2.318516608E0,3.160518293E0,3.937400253E0
2.458626667E-1,-6.953406528E-1,-2.751313477E0,3.717877813E0,4.677161522E0
2.558206667E-1,-1.242315517E0,-2.987604432E0,3.983049628E0,5.131648120E0
2.657786667E-1,-1.386090949E0,-2.822729031E0,3.487770581E0,4.696125097E0
2.757376667E-1,-1.017284838E0,-2.038763884E0,2.383411054E0,3.297282953E0
2.856956667E-1,-5.054379988E-1,-1.127345444E0,1.455677785E0,1.909286027E0
2.956546667E-1,-7.913054484E-1,-1.454391105E-1,4.057757163E-1,9.010942123E-1
3.056126667E-1,-1.490805518E0,3.515423526E-1,-1.143135338E0,1.911240832E0
3.155716667E-1,-1.739048474E0,2.042343257E-1,-2.422623652E0,2.989164869E0
3.255296667E-1,-1.384686740E0,3.493229688E-1,-2.758295345E0,3.106054912E0
3.354876667E-1,-1.059076935E0,6.867878573E-1,-2.856796371E0,3.123236626E0
3.454466667E-1,-7.686088961E-1,4.680107754E-1,-3.175595924E0,3.300636786E0
3.554046667E-1,3.083236814E-3,-4.594605381E-1,-3.507286833E0,3.537255210E0
3.653636667E-1,4.330670106E-1,-1.749153340E0,-3.132275657E0,3.613618025E0
3.753216667E-1,-4.814264077E-1,-2.464163441E0,-2.053881276E0,3.243809665E0
3.852806667E-1,-1.485576353E0,-2.387121112E0,-5.829253006E-1,2.871425815E0
3.952386667E-1,-1.140086015E0,-1.852155113E0,6.211006021E-1,2.261866628E0
4.051976667E-1,7.614302695E-1,6.769577377E-2,1.476199758E0,1.662385184E0
4.151556667E-1,3.377266392E0,7.020678744E0,3.483932469E0,8.534262929E0
4.251136667E-1,2.452788268E0,1.089392643E1,3.592664952E0,1.173034718E1
4.350726667E-1,-5.578261274E-1,7.416359242E0,1.180206685E0,7.530368000E0
4.450306667E-1,-1.778640556E0,2.010531481E0,-6.617048371E-1,2.764715601E0
4.549896667E-1,-2.581835148E0,-1.246971655E0,-1.694220795E0,3.330344598E0
4.649476667E-1,-2.438318163E0,-1.986914577E0,-1.994495199E0,3.724410839E0
4.749066667E-1,-1.073812503E0,-1.508105675E0,-2.643754238E0,3.227521106E0
4.848646667E-1,-2.176017916E-1,-3.993027024E-1,-3.287313411E0,3.318617581E0
4.948236667E-1,-1.954197943E-2,2.433570224E-1,-3.880163775E0,3.887836860E0
5.047816667E-1,-2.851616907E-1,6.939345436E-1,-3.155157858E0,3.243128652E0
5.147396667E-1,1.268027186E-2,1.044467959E0,-2.456806182E0,2.669638688E0
5.246986667E-1,4.645063198E-1,1.048941079E0,-1.934937800E0,2.249450554E0
5.346566667E-1,2.242939299E-1,8.399344021E-1,-1.461338475E0,1.700384576E0
