"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.049783332E-2,-2.744931534E-2,2.549614066E-1,-5.997395539E-1,6.522624597E-1
3.045783332E-2,-1.148321526E-1,1.929388207E-1,-7.770031589E-1,8.087927552E-1
4.041783331E-2,-3.620839322E-1,1.620035416E-1,-8.501395476E-1,9.381296136E-1
5.037883332E-2,-7.454055364E-1,2.574628454E-1,-1.000656234E0,1.274060214E0
6.033883331E-2,-7.484951321E-1,5.660262626E-1,-1.192137929E0,1.517176171E0
7.029883334E-2,-5.558127118E-1,8.765917665E-1,-1.278472068E0,1.646764016E0
8.025883333E-2,-6.495028675E-1,9.427591512E-1,-1.392453597E0,1.802657985E0
9.021883333E-2,-5.852649178E-1,9.059035662E-1,-1.326567171E0,1.709671534E0
1.001798333E-1,-3.011417474E-1,8.787672231E-1,-9.480693001E-1,1.327310658E0
1.101398333E-1,-3.438575032E-1,4.093439797E-1,-3.772436428E-1,6.543036315E-1
1.200998333E-1,-2.968062745E-1,-2.878508252E-1,2.951060504E-1,5.079760261E-1
1.300598333E-1,-2.672415096E-1,-1.035752977E0,6.517441052E-1,1.252586377E0
1.400198333E-1,-2.862030067E-1,-1.358554949E0,5.001421756E-1,1.475711999E0
1.499808333E-1,-1.584343281E-1,-4.643174547E-1,1.474919218E-1,5.122948390E-1
1.599408333E-1,-7.734229088E-2,7.003467464E-1,-4.454718786E-1,8.336141733E-1
1.699008333E-1,-1.303233272E-1,1.349263138E0,-1.002035007E0,1.685695507E0
1.798608333E-1,1.835670497E-1,1.659971899E0,-7.943056548E-1,1.849358007E0
1.898218333E-1,5.762311158E-1,1.489375289E0,-2.012845516E-1,1.609595142E0
1.997818333E-1,7.897264078E-1,8.700741675E-1,2.715195519E-1,1.205993252E0
2.097418333E-1,1.547465622E-3,2.235954800E-1,3.312611389E-1,3.996639532E-1
2.197018333E-1,-5.121908019E-1,-4.346884435E-1,-5.669109464E-2,6.741715959E-1
2.296618333E-1,-1.066769824E0,3.323136377E-1,5.808717585E-1,1.259302272E0
2.396228333E-1,-1.158549183E0,1.236881115E0,4.951235104E-1,1.765575938E0
2.495828333E-1,1.056705889E-1,2.419668469E-1,-1.366049910E-1,2.972795854E-1
2.595428333E-1,4.512465888E-1,1.425482179E0,1.540081174E0,2.146502492E0
2.695028333E-1,-2.868632305E-1,1.628227950E0,2.485473619E0,2.985129122E0
2.794628333E-1,-1.566973396E0,1.892569752E0,1.794440902E0,3.042571945E0
2.894238333E-1,-2.200933779E0,1.172651498E0,-3.396530628E-2,2.494067898E0
2.993838333E-1,-3.246233797E0,-3.694881883E-1,-1.011553105E0,3.420203952E0
3.093438333E-1,-4.473946478E0,-9.905031288E-1,2.354673743E-2,4.582340885E0
3.193038333E-1,-2.628466693E0,-7.155068225E-1,2.451838095E0,3.665009852E0
3.292638333E-1,8.491004974E-2,-4.283816367E-1,3.520781622E0,3.547763207E0
3.392248333E-1,6.197881946E-1,4.985797995E-1,2.495804479E0,2.619495986E0
3.491848333E-1,5.982596236E-1,1.425131054E0,1.139275006E0,1.920119954E0
3.591448333E-1,-2.439078301E-2,6.844388115E-1,-1.726840657E-1,7.063081364E-1
3.691048333E-1,-1.621646324E-1,-6.885321549E-1,-1.222337043E-1,7.178544245E-1
3.790648333E-1,4.639271531E-1,-1.931458414E0,4.241862595E-1,2.031180443E0
3.890258333E-1,3.627361161E-1,-2.175189658E0,-3.175371391E-1,2.227971583E0
3.989858333E-1,-6.601564944E-2,-2.190203261E0,-1.104199314E0,2.453692017E0
4.089458333E-1,9.253218770E-2,-2.037925686E0,-8.084336972E-1,2.194371972E0
4.189058333E-1,7.675938195E-1,-1.206791051E0,2.538709009E-1,1.452582303E0
4.288658333E-1,6.183383775E-1,-9.104977235E-1,8.742487872E-1,1.405581515E0
4.388268333E-1,-2.822094315E-1,-4.418486515E-1,4.095904398E-1,6.653094937E-1
4.487868333E-1,-8.794995868E-1,1.766999334E-1,-6.724584514E-1,1.121134585E0
4.587468333E-1,-1.179866377E0,-1.070823407E0,-1.257712698E0,2.029923315E0
4.687068333E-1,-2.664283812E-1,-2.113304774E0,-1.060488453E0,2.379427853E0
4.786668333E-1,4.021217912E-1,-1.593118343E0,-5.849180317E-1,1.744092055E0
4.886278333E-1,-4.928384185E-1,-2.218708438E-1,-1.001139214E0,1.137715300E0
4.985878333E-1,-5.622284961E-1,1.284510195E0,-8.628613347E-1,1.646389081E0
5.085478333E-1,-3.988970518E-2,1.159392644E0,-1.113857744E0,1.608247980E0
5.185078333E-1,-7.759752184E-1,9.369645604E-1,-1.905767210E0,2.260970762E0
5.284688333E-1,-7.602807069E-1,5.454779774E-2,-1.954324828E0,2.097710120E0
5.384288333E-1,-5.521373713E-1,2.160739142E-1,-1.113565968E0,1.261575515E0
5.483888333E-1,-3.069378912E-1,1.105333381E0,-3.504113549E-1,1.199483585E0
5.583488333E-1,-8.028484368E-1,1.265398571E0,1.755357528E-1,1.508844576E0
5.683088333E-1,3.985047036E-1,1.697287952E0,3.105526400E-1,1.770885466E0
5.782698333E-1,1.770316460E0,1.565382661E0,2.070369254E0,3.141794406E0
5.882298333E-1,-9.972777128E-1,1.275919758E0,2.717440265E0,3.163386739E0
5.981898333E-1,-2.424197722E0,1.775161170E0,2.007592962E0,3.613635466E0
6.081498333E-1,-1.177697060E0,1.649289621E0,1.720133024E0,2.658191911E0
6.181098333E-1,3.318622327E-1,1.325207693E0,2.256107229E0,2.637485128E0
6.280708333E-1,3.029945290E-1,1.354431492E0,2.285816347E0,2.674181505E0
6.380308333E-1,-1.434512619E0,7.151127201E-1,3.646427469E0,3.983170338E0
6.479908333E-1,-1.521660106E0,2.567401296E-1,1.678301166E0,2.279925388E0
6.579508333E-1,-2.035164923E0,-8.091599214E-1,1.252933769E0,2.523188275E0
6.679108333E-1,-1.090032095E-1,8.809613907E-1,1.831208194E0,2.035017966E0
6.778718333E-1,-1.442675332E0,1.038704651E0,2.755325252E0,3.279029843E0
6.878318333E-1,-2.264433079E0,1.001972442E0,1.686993344E0,2.996256412E0
6.977918333E-1,-7.913095415E-1,1.270873026E0,2.309498155E-1,1.514802580E0
7.077518333E-1,9.386318940E-1,1.355168826E0,-1.229284120E0,2.056368602E0
7.177118333E-1,2.500850626E0,2.114991696E0,-1.580667867E0,3.636750560E0
7.276737500E-1,2.098987867E0,2.742760170E0,-1.801038900E-1,3.458456423E0
7.376337500E-1,8.881166285E-1,2.444362138E0,-5.641428745E-1,2.661186688E0
7.475937500E-1,7.082545209E-1,8.633218029E-1,-4.243621438E0,4.388082942E0
7.575537500E-1,1.037177358E0,2.409833452E-1,-4.911116188E0,5.025223582E0
7.675137500E-1,1.313315626E0,-6.095520589E-1,-4.605046608E0,4.827297992E0
7.774747500E-1,2.243173773E0,-7.335963535E-1,-4.019697052E0,4.661325624E0
7.874347500E-1,2.221584683E0,-2.070972687E-1,-2.607601781E0,3.431896681E0
7.973947500E-1,1.876231754E0,1.424949790E0,-1.089615188E0,2.595763618E0
8.073547500E-1,2.123136283E0,2.756518669E0,-1.043330383E-1,3.480946456E0
8.173157500E-1,2.206121721E0,2.510825099E0,-3.546485397E-1,3.361099718E0
8.272757500E-1,2.103411285E0,1.769641983E0,4.053842452E-1,2.778544254E0
8.372357500E-1,1.622588310E0,-7.653312394E-1,9.161499345E-1,2.014411932E0
8.471957500E-1,7.700139821E-1,1.073791161E0,3.622676079E0,3.856129013E0
8.571557500E-1,-5.361464059E-1,7.011349511E-1,-1.912251480E0,2.106121770E0
8.671167500E-1,7.636738461E-1,1.787313731E0,-4.921110249E0,5.291031487E0
8.770767500E-1,1.606561677E0,8.067295262E-1,-3.581490046E0,4.007358719E0
8.870367500E-1,1.605392818E0,-1.079503891E0,-3.355114800E-1,1.963461918E0
8.969967500E-1,1.892683480E0,-1.439892057E0,-1.162387003E-1,2.380976969E0
9.069567500E-1,2.188422199E0,-1.488997559E0,-1.018435863E0,2.836109494E0
9.169177500E-1,2.040916244E0,-1.812472399E0,-3.984110020E-1,2.758464544E0
9.268777500E-1,1.689324337E0,-1.376635709E0,5.535038656E-1,2.248401458E0
9.368377500E-1,4.633795613E-1,-7.751539039E-1,1.458741142E0,1.715666025E0
9.467977500E-1,-3.560948485E-1,-4.847072804E-1,2.122017710E0,2.205607366E0
9.567577500E-1,-2.938179088E-1,-8.018747292E-2,2.589533007E0,2.607381865E0
9.667187500E-1,-2.651577812E-1,-1.803909883E-2,2.020284929E0,2.037691157E0
