"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.301341667E-2,5.114715944E-1,-9.363564500E-1,9.357761139E-1,1.419170014E0
2.297241669E-2,7.055960843E-1,-1.065083780E0,3.939152241E-1,1.336951194E0
3.293041667E-2,7.331724304E-1,-1.109852986E0,-1.239703274E-1,1.335920696E0
4.288941668E-2,7.447135185E-1,-8.960473533E-1,-7.664044958E-1,1.394587729E0
5.284741669E-2,3.677679375E-1,-5.958403382E-1,-8.325593090E-1,1.087857512E0
6.280641668E-2,-1.798023199E-1,-3.031946500E-1,-9.612974560E-1,1.023888992E0
7.276441669E-2,-4.648437041E-1,-5.593826562E-2,-8.636138713E-1,9.823633124E-1
8.272341668E-2,-4.850627911E-1,4.855966419E-3,-6.438287294E-1,8.061171903E-1
9.268141669E-2,-3.673061536E-1,-1.288814038E-1,-4.670270544E-1,6.079790262E-1
1.026404167E-1,-1.836743461E-1,-2.605032514E-1,-5.314750654E-1,6.197289363E-1
1.125984167E-1,-1.138895083E-1,-5.084180322E-1,-5.594627631E-1,7.644987239E-1
1.225574167E-1,-6.367325485E-3,-7.456031723E-1,-4.472769141E-1,8.694948369E-1
1.325154167E-1,4.709984833E-1,-8.491705178E-1,-5.613069749E-1,1.121604057E0
1.424744167E-1,1.180778835E0,-8.060011093E-1,-7.750946277E-1,1.626237414E0
1.524324167E-1,1.841602497E0,-5.871005049E-1,-8.382094735E-1,2.106841684E0
1.623914167E-1,2.119566704E0,-4.069153386E-1,-1.222989008E0,2.480694503E0
1.723504167E-1,2.067384251E0,-3.946850100E-1,-1.916076436E0,2.846261198E0
1.823084167E-1,1.823011859E0,-2.447195698E-1,-2.122672014E0,2.808735727E0
1.922674167E-1,1.024690483E0,-8.065970868E-2,-1.878082398E0,2.140955410E0
2.022254167E-1,4.856422502E-1,7.156991959E-2,-1.728090792E0,1.796459973E0
2.121844167E-1,2.276137597E-1,1.231873852E-1,-1.641502883E0,1.661780633E0
2.221424167E-1,1.166382844E-1,8.413938671E-2,-1.561058060E0,1.567669031E0
2.321014167E-1,-3.264370398E-1,-5.127212906E-1,-1.278061593E0,1.415233443E0
2.420594167E-1,-9.194066875E-2,-9.281061749E-1,-1.014028232E0,1.377710932E0
2.520184167E-1,7.413725656E-1,-6.052091856E-1,-1.263490332E0,1.585029734E0
2.619764167E-1,9.217724709E-1,-2.562176809E-1,-1.648938788E0,1.906386926E0
2.719354167E-1,9.434318733E-1,8.634320229E-2,-1.988489524E0,2.202636928E0
2.818934167E-1,7.712500834E-1,2.447407660E-1,-2.130161712E0,2.278664884E0
2.918527084E-1,7.298975511E-1,2.332768612E-1,-1.926238312E0,2.073056334E0
3.018107083E-1,9.371010198E-1,2.196715598E-1,-1.717919560E0,1.969177882E0
3.117697084E-1,1.225964656E0,2.058402635E-1,-1.719250386E0,2.121598794E0
3.217277083E-1,1.449348028E0,1.275390293E-1,-1.576232169E0,2.145083626E0
3.316867083E-1,1.699915252E0,1.226323383E-1,-1.319450524E0,2.155388652E0
3.416447084E-1,1.893970745E0,2.666570073E-1,-1.299124433E0,2.312132227E0
3.516037083E-1,2.107491765E0,4.844276373E-1,-1.519542244E0,2.642952952E0
3.615617084E-1,2.414432872E0,7.110929056E-1,-1.116653883E0,2.753553179E0
3.715207083E-1,2.703303159E0,9.057734656E-1,-3.942356515E-1,2.878140943E0
3.814787084E-1,2.721452624E0,7.593509996E-1,6.952333564E-1,2.909685163E0
3.914377083E-1,2.645988459E0,3.355975802E-1,9.222333777E-1,2.822125983E0
4.013967084E-1,2.235161041E0,-7.301564366E-3,3.212928057E-1,2.258146864E0
4.113547083E-1,1.233301157E0,-1.974978948E-1,7.298377633E-2,1.251144994E0
4.213137084E-1,7.858345011E-1,1.981549756E-1,-1.861121964E-1,8.315281157E-1
4.312717083E-1,5.890613687E-1,6.876827006E-1,-3.357892227E-1,9.657407493E-1
4.412307084E-1,4.468924597E-1,9.213906477E-1,-4.304527205E-1,1.110838936E0
4.511887083E-1,9.469498506E-1,8.024915374E-1,-6.877611995E-2,1.243156001E0
4.611477084E-1,1.791290422E0,6.045651879E-1,8.329247600E-1,2.065909993E0
4.711057083E-1,2.593472861E0,8.290453517E-1,1.623462469E0,3.170023354E0
4.810647084E-1,2.523116823E0,9.661265253E-1,1.350982220E0,3.020707190E0
4.910227083E-1,1.603838629E0,7.022314502E-1,2.078095765E0,2.717334975E0
5.009817083E-1,3.638307148E-1,-1.573119367E-2,2.292869259E0,2.321609290E0
5.109397084E-1,-4.319747508E-2,-4.327585700E-1,1.157256948E0,1.236280569E0
5.208987083E-1,4.426400721E-1,-2.099966106E-1,7.961451888E-1,9.348133351E-1
5.308567084E-1,1.204415912E0,-2.411833931E-1,1.260245712E0,1.759831348E0
5.408157083E-1,3.499608269E0,-1.102623197E0,1.432783597E0,3.939023329E0
5.507737084E-1,2.539038207E0,-2.217921402E0,-6.353481032E0,7.192538605E0
5.607327083E-1,1.668369670E0,-1.675495379E0,-3.273281263E0,4.037958933E0
5.706907084E-1,5.554090639E0,-7.573541754E-1,2.154184413E-1,5.609626839E0
5.806497083E-1,5.437087269E0,-2.025360604E0,2.919649261E-1,5.809410217E0
5.906077083E-1,3.722193058E0,-4.436932434E0,-1.122670668E0,5.899277923E0
6.005667083E-1,2.034733983E0,-4.388893756E0,-8.992362785E-1,4.920483378E0
6.105247083E-1,7.271299177E-1,-3.098377009E0,-5.046883857E-1,3.222323443E0
