Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),WalkingJumping
6.409500013E-3,5.527940136E-1,-9.362894994E-1,-1.188515579E0,1.610834730E0,0
1.633250000E-2,1.795826107E-2,-4.396626699E-1,-8.775951487E-1,9.817326558E-1,0
2.625550001E-2,-7.501802266E-1,3.197944567E-1,-1.394794822E-2,8.156184231E-1,0
3.617850000E-2,-1.287682017E0,7.209488261E-1,1.016581711E0,1.792018572E0,0
4.610150000E-2,-1.474404370E0,3.324089473E-1,1.824247084E0,2.369016965E0,0
5.602450001E-2,-9.752454042E-1,-3.305948487E-1,1.997384309E0,2.247207295E0,0
6.594750000E-2,-2.976343864E-1,-7.365030044E-1,1.477996023E0,1.677943726E0,0
7.587050000E-2,5.243724525E-2,-8.522878146E-1,7.298254842E-1,1.123294005E0,0
8.579350001E-2,1.967319095E-1,-1.023001661E0,-8.626046419E-2,1.045311777E0,0
9.571650000E-2,3.883179769E-1,-1.221685956E0,-9.297026110E-1,1.583557505E0,0
1.056395000E-1,9.178432882E-1,-1.316648246E0,-1.285765885E0,2.056500138E0,0
1.155625000E-1,1.542148165E0,-1.055760687E0,-1.200143352E0,2.221079839E0,0
1.254855000E-1,1.214137785E0,-7.618062454E-1,-1.097450457E0,1.805235947E0,0
1.354085000E-1,8.261557308E-1,-4.722398472E-1,-9.073013431E-1,1.314815383E0,0
1.453315000E-1,4.131230351E-1,-1.710643870E-1,-7.425958031E-1,8.668230462E-1,0
1.552545000E-1,1.988260898E-1,-4.099132061E-2,-3.999928200E-1,4.485603175E-1,0
1.651775000E-1,4.056652039E-1,3.279410899E-3,4.405777591E-1,5.989021406E-1,0
1.751005000E-1,5.478890768E-1,-5.556345910E-2,1.073547040E0,1.206554178E0,0
1.850235000E-1,6.813922660E-1,-3.739905444E-1,1.591930189E0,1.771554705E0,0
1.949465000E-1,8.692003012E-1,-1.004016921E0,1.903881483E0,2.321276339E0,0
2.048695000E-1,1.058427748E0,-1.557338646E0,1.831078386E0,2.626484535E0,0
2.147925000E-1,1.059971632E0,-1.825389630E0,1.358764864E0,2.510344422E0,0
2.247155000E-1,1.652735677E0,-1.952647846E0,1.203631216E0,2.827206560E0,0
2.346385000E-1,1.954991849E0,-1.695506890E0,1.076363059E0,2.802729773E0,0
2.445615000E-1,1.836329478E0,-1.303282096E0,8.310150594E-1,2.400257528E0,0
2.544845000E-1,1.684142680E0,-9.002212420E-1,4.477306581E-1,1.961427438E0,0
2.644075000E-1,1.635941597E0,-5.671313864E-1,-6.650915444E-2,1.732733789E0,0
2.743305000E-1,1.644297560E0,-2.810566530E-1,-5.910055679E-1,1.769744301E0,0
2.842535000E-1,1.577179857E0,3.932574123E-2,-7.667582524E-1,1.754126857E0,0
2.941765000E-1,1.478364543E0,3.224751127E-1,-8.165373534E-1,1.719385114E0,0
3.040995000E-1,1.459416934E0,6.608236617E-1,-9.642596555E-1,1.869861594E0,0
3.140225000E-1,1.570377645E0,7.878041357E-1,-1.370878540E0,2.228458946E0,0
3.239465000E-1,1.579809350E0,5.592154258E-1,-1.344374281E0,2.148455650E0,0
3.338695000E-1,9.322249536E-1,1.517089337E-1,-2.787075341E-1,9.847521791E-1,0
3.437925000E-1,-3.934746364E-1,-4.939008576E-1,2.082145547E0,2.175796503E0,0
3.537155000E-1,-1.368460424E0,-1.538512366E0,4.757463055E0,5.183932769E0,0
3.636385000E-1,-2.507723444E0,-1.811943372E0,4.125177314E0,5.156442914E0,0
3.735615000E-1,-2.220906406E0,-1.164853651E0,2.630940065E0,3.634715246E0,0
3.834845000E-1,-3.927333556E-1,-3.042440790E-1,2.130718367E0,2.187867617E0,0
3.934075000E-1,6.704993418E-1,8.104632658E-1,1.081929023E0,1.508970008E0,0
4.033305000E-1,1.179688037E0,1.468732571E0,-2.686438912E-1,1.902894840E0,0
4.132535000E-1,8.063927266E-1,1.400230686E0,-1.289324500E0,2.067189606E0,0
4.231765000E-1,-2.215179643E-1,1.176984577E0,-1.668804703E0,2.054086668E0,0
4.330995000E-1,-5.865175375E-1,8.281616181E-1,-1.581771821E0,1.879323437E0,0
4.430225000E-1,-1.785162248E-1,3.587541622E-1,-1.152241791E0,1.219931858E0,0
4.529455000E-1,1.746447833E-1,-5.364761889E-1,3.870681345E-1,6.841997094E-1,0
4.628685000E-1,-8.366719481E-1,-1.296710410E0,1.562617512E0,2.196190185E0,0
4.727915000E-1,-2.226181764E0,-1.922290857E0,1.842937124E0,3.470951545E0,0
4.827145000E-1,-2.403789624E0,-2.773051963E0,8.087354136E-1,3.757934901E0,0
4.926375000E-1,-2.816458769E0,-1.607020099E0,-1.515785993E0,3.579463754E0,0
5.025605000E-1,-2.566317222E0,7.115137589E-1,-3.828674363E0,4.663794946E0,0
5.124835000E-1,-1.960967849E0,2.297624507E0,-4.871659176E0,5.732149371E0,0
5.224065000E-1,-1.307028407E0,2.884367747E0,-4.593839250E0,5.579539372E0,0
