Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),WalkingJumping
7.058291667E-3,-1.779898584E0,-2.060570490E0,4.317440781E-1,2.756880967E0,0
1.698229168E-2,-1.930951168E0,-2.079116689E0,3.439589524E-1,2.858252330E0,0
2.690729167E-2,-1.817199727E0,-1.825560368E0,4.481323618E-1,2.614518717E0,0
3.683229168E-2,-1.519330575E0,-1.381505270E0,1.028601247E0,2.296724348E0,0
4.675729167E-2,-1.476556438E0,-1.040162362E0,1.182073116E0,2.158576732E0,0
5.668129167E-2,-1.112131939E0,-1.148642246E0,3.556191775E-1,1.637889330E0,0
6.660629167E-2,-6.932771704E-1,-8.830979633E-1,4.517871639E-1,1.210209440E0,0
7.653129168E-2,-4.905156121E-1,-6.842867839E-1,5.273501471E-1,9.934546522E-1,0
8.645529168E-2,-2.143296897E-3,-5.388133210E-1,8.409328142E-1,9.987454063E-1,0
9.638029167E-2,2.210235822E-1,1.292199576E-1,1.736934121E0,1.755701957E0,0
1.063052917E-1,4.638794982E-1,6.152802837E-1,2.393848334E0,2.514808912E0,0
1.162292917E-1,6.479647574E-1,6.876734912E-1,2.428785447E0,2.606098983E0,0
1.261542917E-1,5.602848816E-1,4.198797852E-1,2.249681139E0,2.356116171E0,0
1.360792917E-1,3.071039522E-1,4.581240839E-1,2.258291456E0,2.324665743E0,0
1.460032917E-1,-8.262086481E-2,1.179875733E0,2.544785143E0,2.806218875E0,0
1.559282917E-1,-2.169834486E-1,1.679307472E0,2.562417129E0,3.071341229E0,0
1.658532917E-1,-2.398580486E-1,1.673275484E0,2.290630360E0,2.846817552E0,0
1.757772917E-1,-3.327939865E-1,1.343509478E0,1.685135684E0,2.180699848E0,0
1.857022917E-1,-5.542169335E-1,1.012569936E0,1.392743911E0,1.808919535E0,0
1.956272917E-1,-8.080331630E-1,8.805392218E-1,1.258597382E0,1.735607756E0,0
2.055512917E-1,-8.781822091E-1,1.195918154E0,1.200467872E0,1.908545869E0,0
2.154762917E-1,-6.687086320E-1,1.898513739E0,1.275776501E0,2.383092808E0,0
2.254012917E-1,-2.593675759E-1,2.639641891E0,1.318699742E0,2.962085391E0,0
2.353252917E-1,5.052599511E-1,3.557430800E0,7.956844282E-1,3.680178695E0,0
2.452502917E-1,1.666514056E0,4.242920941E0,-3.902244616E-1,4.575141784E0,0
2.551752917E-1,2.281987883E0,4.484917316E0,-1.096524258E0,5.150176451E0,0
2.651002917E-1,2.310371729E0,4.223377792E0,-1.525433899E0,5.049919413E0,0
2.750242917E-1,2.298951825E0,3.528671855E0,-1.429826660E0,4.447595848E0,0
2.849492917E-1,1.972472831E0,1.994059582E0,-1.595411037E0,3.226803226E0,0
2.948742917E-1,1.045400005E0,-1.496214777E-1,-2.547266994E0,2.757501930E0,0
3.047982917E-1,4.250484315E-1,-1.071558986E0,-2.766187040E0,2.996780868E0,0
3.147232917E-1,3.506081137E-1,-1.793992420E0,-2.601126866E0,3.179181629E0,0
3.246482917E-1,1.931215462E-1,-2.337500471E0,-1.605309788E0,2.842221648E0,0
3.345722917E-1,3.670817667E-1,-1.938396428E0,-4.322788060E-1,2.019652124E0,0
3.444972917E-1,6.692562237E-1,-7.060816956E-1,-2.710967982E-1,1.009925110E0,0
3.544222917E-1,2.941751736E-1,-1.009978450E0,-8.776778868E-1,1.370005100E0,0
3.643462917E-1,-4.915985164E-1,-2.097686861E0,-1.320881338E0,2.527189502E0,0
3.742712917E-1,-1.413260329E0,-1.735092248E0,-3.157419269E0,3.870031822E0,0
3.841962917E-1,-1.584691629E0,-8.555037832E-1,-2.114673607E0,2.777585057E0,0
3.941202917E-1,-1.088788977E0,1.006259036E-1,-5.015039921E-2,1.094578490E0,0
4.040452917E-1,2.931209207E-2,4.486977875E-1,5.953097034E-1,7.460446007E-1,0
4.139702917E-1,9.689043912E-1,2.741279948E-1,4.871829915E-1,1.118601423E0,0
4.238942917E-1,1.313482856E0,-1.903420722E-1,2.186990216E-1,1.345100955E0,0
4.338186667E-1,1.847404689E0,-5.603556329E-1,-5.698757771E-1,2.012873797E0,0
4.437436667E-1,1.803237161E0,-8.051884925E-1,2.675130397E-2,1.975021113E0,0
4.536676667E-1,1.520705548E0,-1.293514615E0,-2.598996726E-1,2.013274264E0,0
4.635926667E-1,1.143712458E0,-1.570106041E0,3.048846415E-1,1.966282231E0,0
4.735176667E-1,7.702157110E-1,-1.278635790E0,9.939249194E-1,1.793328879E0,0
4.834416667E-1,1.636846161E-1,-1.539777119E0,1.213427641E0,1.967260244E0,0
4.933666667E-1,-3.242088121E-1,-2.409165115E0,1.025698982E0,2.638417387E0,0
5.032916667E-1,-2.307366845E-1,-3.363817211E0,1.426901737E0,3.661223049E0,0
5.132156667E-1,-2.831683749E-1,-4.031824177E0,1.949904333E0,4.487529101E0,0
5.231406667E-1,-6.579906857E-1,-3.406220634E0,1.690494511E0,3.859153073E0,0
5.330656667E-1,-1.379757245E0,-1.309697369E0,3.916874349E-2,1.902779925E0,0
5.429906667E-1,-1.130907056E0,-5.081891137E-1,-3.140212083E-1,1.278990330E0,0
5.529146667E-1,-2.158511353E-1,-1.586030349E0,1.016581711E0,1.896186265E0,0
5.628396667E-1,4.466880995E-1,-2.213995582E0,1.158375521E0,2.538334206E0,0
5.727646667E-1,6.914712578E-1,-2.292462292E0,7.389091337E-1,2.505893567E0,0
5.826886667E-1,5.040744281E-1,-2.842737325E0,1.224475955E0,3.136014651E0,0
5.926136667E-1,2.569985765E-1,-2.969373983E0,1.332705578E0,3.264863592E0,0
6.025386667E-1,-1.147662252E-1,-2.909158772E0,1.188989203E0,3.144848386E0,0
6.124626667E-1,-6.058963796E-1,-2.827749742E0,1.004366877E0,3.061377443E0,0
6.223876667E-1,-7.162260300E-1,-2.377743348E0,6.292995679E-1,2.561769135E0,0
6.323126667E-1,6.220250469E-1,-1.438726707E0,2.728814853E0,3.146947760E0,0
6.422366667E-1,1.666909035E0,-1.020545538E0,3.226482487E0,3.772305418E0,0
6.521616667E-1,1.118648076E0,-5.011133981E-1,2.711214150E0,2.975427754E0,0
6.620866667E-1,-5.156188783E-1,-2.155827481E-1,2.577180179E0,2.637081043E0,0
6.720106667E-1,-3.961842361E-1,-7.025540704E-1,1.913516525E0,2.076557166E0,0
6.819356667E-1,1.281347144E-1,-3.933667552E-1,1.490572214E0,1.546919983E0,0
6.918606667E-1,-1.533724666E-3,2.640532422E-1,1.870924237E0,1.889466583E0,0
7.017846667E-1,-9.777079591E-1,6.029110837E-1,1.726777507E0,2.073927479E0,0
7.117096667E-1,-9.505312702E-1,6.400420725E-1,1.446319317E0,1.845265053E0,0
7.216346667E-1,7.561230442E-1,1.783009011E-1,2.305237874E0,2.432618943E0,0
7.315586667E-1,3.014975833E0,-3.920078623E-1,2.351221547E0,3.843434948E0,0
7.414836667E-1,4.063556432E0,-3.514123982E-1,1.254776226E0,4.267369790E0,0
7.514086667E-1,4.105955177E0,5.572864294E-2,1.409240953E0,4.341420696E0,0
7.613326667E-1,3.740079106E0,1.050569236E0,2.250855260E0,4.489792516E0,0
7.712576667E-1,3.120600814E0,1.475005757E0,2.888933837E0,4.501080997E0,0
7.811826667E-1,2.396489229E0,1.021148386E0,2.969441811E0,3.950125228E0,0
7.911066667E-1,2.707430124E0,6.230307680E-1,2.536011103E0,3.761608370E0,0
8.010316667E-1,3.695181261E0,7.731358105E-1,1.222846920E0,3.968306707E0,0
