"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.627266667E-2,2.582530966E-1,1.619140792E-1,3.517948061E-2,3.068361563E-1
2.619666667E-2,6.745815754E-2,2.306141853E-3,-9.618465096E-2,1.175049292E-1
3.611966668E-2,-1.289328593E-1,-1.719958484E-2,-1.979925692E-1,2.368977952E-1
4.604366668E-2,-1.189496157E-1,7.466602027E-2,-2.406123394E-1,2.786006524E-1
5.596666667E-2,-1.165540114E-1,1.133506143E-1,-1.708006775E-1,2.358093950E-1
6.589066666E-2,2.420454919E-3,1.137640125E-1,-1.125881374E-1,1.600756003E-1
7.581366667E-2,2.720592499E-2,1.016994524E-1,-2.664751589E-2,1.085957231E-1
8.573766667E-2,6.006698459E-2,4.913356841E-2,-3.223657697E-2,8.403182181E-2
9.566066667E-2,2.648350149E-2,-6.537187099E-4,2.946879745E-2,3.962591604E-2
1.055846667E-1,5.914838701E-2,-9.279882073E-2,2.762780160E-2,1.134612191E-1
1.155076667E-1,9.165247411E-2,-1.831687081E-1,1.315974355E-2,2.052416392E-1
1.254316667E-1,1.354337937E-1,-2.001887834E-1,9.564992309E-2,2.599360869E-1
1.353546667E-1,1.119440666E-1,-1.078361052E-1,1.661913174E-1,2.275514307E-1
1.452786667E-1,-3.062917739E-2,-4.176256835E-2,1.965877756E-1,2.032953815E-1
1.552026667E-1,-2.767224044E-2,-3.375012875E-2,1.309200355E-1,1.380031876E-1
1.651256667E-1,1.171995440E-1,-7.444207191E-2,1.197729036E-1,1.833654919E-1
1.750496667E-1,2.445407912E-1,-1.893416137E-1,1.333723578E-1,3.368065187E-1
1.849726667E-1,2.937325394E-1,-3.172927254E-1,1.155289945E-1,4.475493569E-1
1.948966667E-1,2.598669282E-1,-4.322788060E-1,6.630713314E-2,5.087164459E-1
2.048196667E-1,1.405983469E-1,-4.156703746E-1,1.211075306E-2,4.389720103E-1
2.147436667E-1,3.877581060E-3,-1.154158509E-1,-1.404796484E-1,1.818526488E-1
2.246666667E-1,5.492757440E-2,6.781600714E-2,4.426137596E-2,9.785253525E-2
2.345906667E-1,1.370601967E-1,2.132678354E-1,8.703434318E-2,2.680366468E-1
2.445136667E-1,1.231119561E-1,2.120106840E-1,5.785966069E-2,2.518984403E-1
2.544376667E-1,5.589002609E-2,1.050165778E-1,7.684615463E-2,1.416245322E-1
2.643606667E-1,-5.753952563E-2,-1.071285921E-1,7.849185348E-2,1.447352871E-1
2.742846667E-1,-1.011919141E-2,-3.787013537E-1,1.191925675E-2,3.790239860E-1
2.842076667E-1,1.244199783E-2,-6.021871984E-1,1.242489472E-1,6.149975822E-1
2.941316667E-1,4.275367141E-2,-7.060454428E-1,-2.415163189E-2,7.077509061E-1
3.040546667E-1,-1.081588715E-2,-5.774406123E-1,-2.353372738E-1,6.236491615E-1
3.139786667E-1,-1.163379568E-1,-2.528979242E-1,-2.298359209E-1,3.609936714E-1
3.239016667E-1,-2.084134769E-1,2.011699462E-1,-1.667944577E-1,3.342542681E-1
3.338256667E-1,-2.126027146E-1,4.894832861E-1,3.218307495E-3,5.336704593E-1
3.437486667E-1,-2.655153385E-1,4.894482028E-1,7.616056859E-2,5.620127850E-1
3.536726667E-1,-2.492226568E-1,1.610551232E-1,5.025886506E-2,3.009595303E-1
3.635956667E-1,-2.508157307E-1,-1.574362814E-1,-4.251452029E-2,2.991691794E-1
3.735196667E-1,-5.875545412E-2,-4.997907579E-1,-5.794269115E-2,5.065573615E-1
3.834436667E-1,4.344919771E-2,-6.400911891E-1,-3.498359889E-2,6.425172491E-1
3.933666667E-1,-7.813195735E-2,-5.244472969E-1,5.929485977E-2,5.335404861E-1
4.032906667E-1,-1.878368327E-1,-6.388802308E-1,1.028072074E-1,6.738100229E-1
4.132136667E-1,-2.882197845E-1,-8.779711246E-1,2.136163294E-1,9.484386517E-1
4.231376667E-1,-4.059183884E-1,-8.759924269E-1,2.969470462E-1,1.010103964E0
4.330606667E-1,-4.903454581E-1,-7.215575212E-1,1.881590143E-1,8.924616179E-1
4.429846667E-1,-6.123926362E-1,-7.447154188E-1,-9.592064917E-3,9.642187530E-1
4.529076667E-1,-7.149750182E-1,-1.111210125E0,-1.308092308E-1,1.327813343E0
4.628316667E-1,-7.274371889E-1,-1.479150848E0,1.165496260E-2,1.648389497E0
4.727546667E-1,-8.140543333E-1,-8.948865348E-1,2.788668707E-1,1.241480205E0
4.826786667E-1,-4.328623581E-1,4.089829141E-1,8.619643718E-1,1.047673338E0
4.926016667E-1,1.288814038E-2,7.897161752E-1,1.067502188E0,1.327922687E0
5.025256667E-1,3.659471145E-1,4.662797803E-1,1.068504255E0,1.221898304E0
5.124486667E-1,6.756013298E-1,-5.021074247E-1,1.228852303E0,1.489505625E0
5.223726667E-1,7.872372481E-1,-1.082344760E0,1.134640357E0,1.754600070E0
5.322956667E-1,7.377195176E-1,-1.086946519E0,7.990202647E-1,1.537568277E0
5.422196667E-1,8.050484517E-1,-1.290405650E0,3.981392527E-1,1.572184663E0
5.521436667E-1,7.228044400E-1,-1.057259620E0,5.173768437E-1,1.381275846E0
5.620666667E-1,8.033691314E-1,-2.327197677E-1,7.951287965E-1,1.154032172E0
5.719906667E-1,1.033046885E0,2.565974575E-1,9.079847364E-1,1.399094137E0
5.819136667E-1,1.238432966E0,5.749602234E-1,1.007434180E0,1.696826184E0
5.918376667E-1,1.627289472E0,6.405478567E-1,9.817999868E-1,2.005568198E0
6.017606667E-1,1.566227583E0,5.443178898E-1,3.538131188E-1,1.695445231E0
6.116846667E-1,2.351042622E-1,1.332438945E0,-1.794143863E0,2.247135901E0
6.216076667E-1,5.603655732E-1,1.766926244E0,2.777029824E-1,1.874341717E0
6.315316667E-1,6.574539113E-1,1.426577362E0,1.026569486E0,1.876489682E0
6.414546667E-1,-4.464115262E-2,1.260502405E0,-2.473185841E-1,1.285311490E0
6.513786667E-1,-2.484394222E-1,7.337887269E-1,-5.876423226E-1,9.723638936E-1
6.613016667E-1,2.496024334E-1,-5.649837041E-1,-2.182670586E-1,6.550942448E-1
6.712256667E-1,-1.561914092E0,9.553216016E-1,-9.584978092E-1,2.066623586E0
6.811486667E-1,-2.154562728E0,2.790846795E0,-8.261004746E-1,3.621244037E0
6.910726667E-1,-1.716552189E0,2.207686436E0,-4.840138006E-1,2.838080368E0
7.009966667E-1,-1.739563614E0,1.024380727E0,-1.704797385E-1,2.025956757E0
7.109196667E-1,-1.176577611E0,-2.874643242E-1,-1.962525840E-1,1.226982350E0
7.208436667E-1,-7.699370912E-1,-1.404642702E0,-4.191057600E-1,1.655739679E0
7.307666667E-1,-2.518907413E-1,-1.625461632E0,-1.916438086E-1,1.655989678E0
7.406906667E-1,2.510791478E-1,-9.757851022E-1,1.444074424E-1,1.017865813E0
7.506136667E-1,1.932335204E-1,-3.547517431E-1,4.145792842E-2,4.060871242E-1
7.605376667E-1,-1.585291260E-1,1.834330022E-2,-2.265057854E-1,2.770791066E-1
7.704606667E-1,-1.532002076E0,4.765439826E-1,-8.629122055E-1,1.821741475E0
7.803846667E-1,-3.183078606E0,-6.401426446E-1,1.868068457E-2,3.246863253E0
7.903076667E-1,-1.814952642E0,-3.808544154E0,1.065004988E0,4.351240891E0
8.002316667E-1,-5.670553726E-1,-3.971382093E0,2.760112368E-2,4.011756392E0
8.101546667E-1,-2.871772259E-2,-3.299197876E0,-4.751717142E-1,3.333364591E0
8.200786667E-1,1.073450268E0,-3.700850721E0,4.668577775E-2,3.853669822E0
8.300026667E-1,1.723358932E0,-3.783480064E0,-4.074241195E-1,4.177401324E0
8.399256667E-1,1.749077033E0,-3.612926724E0,-1.133741201E0,4.171076491E0
8.498496667E-1,1.907718718E0,-3.607131549E0,-1.646815079E0,4.400316877E0
8.597726667E-1,7.685241115E-1,-3.579900481E0,-2.054160773E0,4.198320288E0
8.696966667E-1,-6.014972270E-2,-4.524089568E0,-3.439136950E0,5.683191653E0
8.796196667E-1,-2.747176865E-1,-2.979889616E0,-1.432615928E0,3.317770385E0
8.895426667E-1,-3.053991964E0,1.805780407E0,4.714281952E0,5.900183397E0
8.994656667E-1,-3.368860727E0,4.099291105E0,7.734761184E0,9.379762297E0
9.093896667E-1,-2.719798447E0,1.778640556E0,4.334170250E0,5.417185392E0
9.193126667E-1,-2.444722911E0,1.776384115E-3,7.581505662E-1,2.559583081E0
9.292366667E-1,-1.694493568E0,-4.014908767E-1,-2.088667823E-1,1.753889594E0
9.391596667E-1,-1.024951123E0,4.573306167E-1,1.159963624E0,1.614060627E0
9.490836667E-1,-2.323756590E-1,-5.720331073E-2,1.438079713E0,1.457855934E0
9.590076667E-1,-3.262737563E-1,-8.619860065E-1,3.805017114E-2,9.224544731E-1
9.689306667E-1,-1.878204605E-1,-5.527665317E-2,-4.603045106E-1,5.002122312E-1
9.788546667E-1,1.066379523E0,-1.476989132E-1,-1.667100239E0,1.984490732E0
9.887776667E-1,1.435453143E0,-7.550953960E-1,-2.183865026E0,2.720286977E0
9.987016667E-1,1.574354628E0,7.973467916E-1,-1.212948169E0,2.141400865E0
1.008624667E0,4.937422518E-1,1.740124362E0,1.865179932E-1,1.818406766E0
1.018548667E0,4.573838264E-2,2.097155349E0,1.342362254E0,2.490399362E0
1.028471667E0,-6.806170714E-1,3.111577098E0,1.197127358E0,3.402685050E0
1.038395667E0,-1.204849629E0,3.359703695E0,1.202332988E0,3.766281476E0
1.048318667E0,-1.191232195E0,3.451478668E0,1.318464684E0,3.882021156E0
1.058242667E0,-1.026653832E0,2.940889857E0,1.408811767E0,3.418713477E0
1.068166667E0,-5.706627392E-1,2.277325020E0,1.432163792E0,2.750083333E0
1.078089667E0,-1.615032027E-2,7.816511106E-1,5.782597341E-1,9.724318031E-1
1.088013667E0,4.105140075E-1,5.086492896E-2,-5.768903893E-1,7.098672500E-1
1.097936667E0,1.238998977E0,4.750921190E-2,-6.458682382E-1,1.398041977E0
1.107860667E0,1.944393917E0,2.828689975E-1,-6.279243028E-1,2.062758227E0
1.117783667E0,2.373920731E0,7.286624730E-1,-4.887255601E-1,2.530869674E0
1.127707667E0,2.704637494E0,1.228125202E0,-2.301784216E-1,2.979318310E0
1.137630667E0,2.813191345E0,1.720870065E0,-4.296129142E-1,3.325658819E0
1.147554667E0,2.908605333E0,2.975898891E0,-7.016799116E-1,4.219989797E0
1.157477667E0,2.620739012E0,3.941267179E0,-5.549744403E-1,4.765485975E0
1.167401667E0,2.075404584E0,3.255854806E0,4.744044864E-1,3.890109808E0
1.177325667E0,1.023646609E0,1.657750542E0,2.162143497E0,2.910473112E0
1.187248667E0,5.752750229E-2,-6.423692644E-2,3.313528817E0,3.314650663E0
1.197172667E0,-6.828282691E-1,-1.104609788E0,1.980009746E0,2.367880027E0
1.207095667E0,-7.603483153E-1,-2.034901798E0,1.882819081E0,2.874710869E0
1.217019667E0,-6.821336930E-1,-2.992858155E0,3.948401366E0,5.001237813E0
1.226942667E0,-1.065626840E0,-3.656063388E0,4.895576627E0,6.202340733E0
1.236866667E0,-2.268008798E0,-3.001744754E0,2.706356283E0,4.634511819E0
1.246789667E0,-3.113476274E0,-2.022544878E0,-1.133787394E0,3.881996412E0
1.256713667E0,-2.700578941E0,-1.228795293E0,-3.268994084E0,4.414678563E0
1.266636667E0,-1.725290560E0,-1.226578029E0,-3.930501285E0,4.464298549E0
1.276560667E0,-8.270791523E-1,-1.991438275E0,-2.646078798E0,3.413446841E0
1.286484667E0,-6.963416961E-1,-3.079171245E0,-1.814966091E0,3.641468004E0
1.296407667E0,-1.069364819E0,-4.025845399E0,-1.424379686E0,4.402252808E0
1.306331667E0,-9.235571873E-1,-4.251225157E0,-7.866113037E-2,4.351098802E0
1.316254667E0,-1.793428749E-1,-2.353080377E0,7.585756588E-1,2.478827981E0
1.326178667E0,3.736835656E-1,3.364698386E-1,-2.320081615E-1,5.537861920E-1
1.336101667E0,5.795350850E-2,1.874872862E0,-3.303371034E0,3.798784943E0
1.346025667E0,5.651304692E-2,3.288112140E0,-5.559857748E0,6.459635698E0
1.355948667E0,9.730755025E-1,6.103297386E0,-4.404578912E0,7.589297089E0
1.365872667E0,2.099457106E0,9.479599571E0,-6.145259929E-1,9.728729124E0
1.375796667E0,3.437995281E0,1.243278028E1,2.965533532E0,1.323586892E1
1.385719667E0,4.283924249E0,1.345043787E1,1.805645629E0,1.423118555E1
1.395643667E0,4.604952468E0,1.363291895E1,-2.885505615E0,1.467611014E1
1.405566667E0,5.092919571E0,1.369615308E1,-4.321263106E0,1.523797079E1
1.415490667E0,5.367962655E0,1.352247908E1,-2.144286831E0,1.470613578E1
1.425413667E0,4.327184289E0,1.227613805E1,8.767221594E-1,1.304594692E1
1.435337667E0,2.460913266E0,1.060385893E1,1.423873464E0,1.097840307E1
1.445260667E0,1.299073563E0,9.020275054E0,1.038284821E0,9.172294671E0
1.455184667E0,4.394781902E-2,6.642314774E0,1.221404924E0,6.753821656E0
1.465108667E0,-7.497671208E-1,4.958371046E0,1.954200282E0,5.382052852E0
1.475031667E0,-7.512175226E-1,3.191926028E0,2.780598965E0,4.299354618E0
1.484955667E0,-8.645598046E-1,1.789149172E0,2.864112407E0,3.485922876E0
1.494878667E0,-7.185774878E-1,5.677038288E-1,2.190752900E0,2.374455624E0
1.504802667E0,-5.888226561E-1,-8.125431204E-1,1.222173321E0,1.581343122E0
1.514725667E0,-6.745732431E-1,-2.582011149E0,4.825496578E-1,2.711952213E0
1.524649667E0,-8.042877290E-1,-4.614147214E0,-3.093878746E-2,4.683822208E0
1.534572667E0,-1.033251245E0,-6.469766364E0,-1.147469294E-1,6.552759098E0
1.544496667E0,-1.219298976E0,-8.237345157E0,1.665708200E-1,8.328762878E0
1.554420667E0,-1.240446893E0,-9.311357051E0,7.340454197E-1,9.422255637E0
1.564343667E0,-1.177981966E0,-1.084931569E1,1.134811242E0,1.097192275E1
1.574267667E0,-9.504567913E-1,-1.219252286E1,9.092490506E-1,1.226326693E1
1.584190667E0,-6.256124599E-1,-1.247125729E1,1.721163376E-1,1.248812530E1
1.594114667E0,-2.385845250E-1,-1.199205692E1,-2.904312015E-1,1.199794574E1
1.604037667E0,2.373536130E-1,-1.193071027E1,9.976871093E-2,1.193348810E1
1.613961667E0,5.477322252E-1,-1.169033358E1,9.928502011E-1,1.174519737E1
1.623884667E0,8.005871724E-1,-1.160305102E1,1.979619298E0,1.179790767E1
1.633808667E0,8.864919797E-1,-1.132841198E1,2.169148607E0,1.156823200E1
1.643732667E0,7.245233752E-1,-1.085583884E1,1.368340849E0,1.096569778E1
1.653655667E0,4.332076362E-1,-1.010160415E1,-3.882551193E-4,1.011088896E1
1.663579667E0,1.372075465E-1,-9.243724061E0,-1.579990759E0,9.378786234E0
1.673502667E0,-1.780737367E-1,-8.908468689E0,-2.644676929E0,9.294452146E0
1.683426667E0,-5.115119402E-1,-8.515639878E0,-2.943021752E0,9.024363913E0
1.693349667E0,-8.047417653E-1,-8.205014732E0,-2.782429728E0,8.701252281E0
1.703273667E0,-1.060334233E0,-8.066311761E0,-2.430283504E0,8.490934696E0
1.713196667E0,-1.320755477E0,-7.601781467E0,-1.906193326E0,7.947644274E0
1.723120667E0,-1.463779103E0,-6.279673383E0,-1.108699331E0,6.542641765E0
1.733044667E0,-1.044244157E0,-3.905257101E0,4.394950010E-1,4.066280209E0
1.742967667E0,1.041210768E-1,-1.388333648E0,3.194232754E0,3.484456113E0
1.752891667E0,1.835508529E0,6.682478714E-1,4.421524143E0,4.833789665E0
1.762814667E0,2.369898870E0,2.260776231E0,1.859537223E0,3.766352148E0
1.772738667E0,1.537356664E0,4.039545425E0,-2.920181358E0,5.216210494E0
1.782661667E0,1.001884149E0,6.227944236E0,-5.760305563E0,8.542375631E0
1.792585667E0,1.751048568E0,1.092463133E1,-2.724380910E0,1.139455976E1
1.802509667E0,3.928419384E0,2.089487545E1,7.681159759E0,2.260593979E1
1.812432667E0,5.271235675E0,3.079328067E1,1.441911919E1,3.440818301E1
1.822356667E0,4.234607370E0,3.141910582E1,5.916208119E0,3.225048261E1
1.832279667E0,2.381748106E0,2.600884558E1,-5.117789533E0,2.661436721E1
1.842203667E0,3.591383243E-1,2.128792060E1,-7.081491541E0,2.243773755E1
1.852126667E0,-1.079248952E0,1.661543630E1,-2.157177310E0,1.678960738E1
1.862050667E0,-1.379531835E0,1.305771431E1,2.679883891E0,1.340107417E1
1.871973667E0,-1.448008723E0,1.229890243E1,4.238236737E0,1.308901756E1
1.881897667E0,-1.863404864E0,1.299785403E1,3.234798105E0,1.352332821E1
1.891821917E0,-2.154470196E0,1.316977503E1,2.639003960E0,1.360327380E1
1.901744917E0,-2.091203176E0,1.123862096E1,3.599696814E0,1.198488836E1
1.911668917E0,-1.321123413E0,7.225964545E0,4.051441585E0,8.388927798E0
1.921591917E0,-1.501407105E-1,3.140117358E0,3.193489573E0,4.481211321E0
1.931515917E0,9.672005126E-1,-4.122479993E-1,2.343756992E0,2.568778324E0
1.941438917E0,1.517676544E0,-3.325899187E0,1.484037512E0,3.945543667E0
1.951362917E0,1.257757283E0,-5.508970599E0,1.048300590E0,5.747142296E0
1.961286917E0,9.585431251E-1,-7.848411176E0,2.934951425E-1,7.912174310E0
1.971209917E0,7.379555990E-1,-9.476746715E0,-2.536166932E-1,9.508818443E0
1.981133917E0,6.143446561E-1,-1.070284878E1,-4.431137697E-1,1.072961981E1
1.991056917E0,5.124501991E-1,-1.191273827E1,-2.323777787E-1,1.192601936E1
2.000980917E0,4.324504948E-1,-1.262386494E1,-8.224620447E-3,1.263127259E1
2.010903917E0,3.942999709E-1,-1.301415606E1,9.640596807E-2,1.302048481E1
2.020827917E0,3.378918449E-1,-1.286023981E1,8.343560122E-2,1.286494851E1
2.030751917E0,3.545795426E-1,-1.260452586E1,-1.544167793E-1,1.261045770E1
2.040674917E0,4.844584448E-1,-1.222727988E1,-3.290369312E-1,1.224129644E1
2.050598917E0,6.324649581E-1,-1.169784608E1,-4.417969036E-1,1.172325890E1
2.060521917E0,8.608028224E-1,-1.093450377E1,-6.163854805E-1,1.098563996E1
2.070445917E0,9.260454699E-1,-9.936433175E0,-9.010675534E-1,1.002008918E1
2.080368917E0,8.074370393E-1,-9.163838232E0,-1.205147399E0,9.277945137E0
2.090292917E0,6.353280473E-1,-8.782381085E0,-1.490576307E0,8.930603394E0
2.100216917E0,4.727253854E-1,-8.611006211E0,-1.708934729E0,8.791663959E0
2.110139917E0,2.748369697E-1,-8.676668104E0,-1.723236433E0,8.850403864E0
2.120063917E0,7.229607068E-2,-8.766632195E0,-1.653382087E0,8.921476284E0
2.129986917E0,-1.207137206E-1,-8.764690919E0,-1.484819723E0,8.890391910E0
2.139910917E0,-3.234980831E-1,-8.754835437E0,-1.328531835E0,8.860970115E0
2.149833917E0,-4.876995930E-1,-8.739265471E0,-1.206577043E0,8.835634670E0
2.159757917E0,-6.787675971E-1,-8.748124003E0,-1.135337491E0,8.847564085E0
2.169681917E0,-8.703045478E-1,-8.702539694E0,-1.046012501E0,8.808278452E0
2.179604917E0,-1.062985653E0,-8.471766465E0,-8.137118326E-1,8.576881279E0
2.189528917E0,-1.273420658E0,-7.915445995E0,-2.845839858E-1,8.022273588E0
2.199451917E0,-1.553968896E0,-6.644563029E0,7.419520247E-1,6.864075319E0
2.209375917E0,-1.640558412E0,-5.051223076E0,7.668627714E-1,5.366038108E0
2.219298917E0,-1.505900690E0,-4.236060988E0,-9.267252088E-1,4.590290752E0
2.229222917E0,-1.611554907E0,-2.834076430E0,-2.132432771E0,3.895685812E0
2.239146917E0,-1.564994113E0,1.829258732E0,2.088106198E0,3.186782324E0
2.249069917E0,-8.879741026E-1,1.147975429E1,1.630479011E1,1.996044681E1
2.258993917E0,-4.057304004E-1,1.625922276E1,1.320632364E1,2.095075001E1
2.268916917E0,7.791268677E-2,1.796942575E1,-2.642345059E-1,1.797153727E1
2.278840917E0,1.414404044E0,2.344985609E1,-5.957545595E0,2.423610197E1
2.288763917E0,4.389584020E0,2.952335197E1,-3.317917153E0,3.003173877E1
2.298687917E0,7.968410075E0,3.037902883E1,5.580559230E-1,3.141165991E1
2.308611917E0,1.093197777E1,2.454837951E1,2.094346201E0,2.695398598E1
2.318534917E0,1.204846618E1,1.688382233E1,2.352331349E0,2.087492411E1
2.328458917E0,8.672614814E0,1.183999072E1,-5.338819255E-1,1.468620638E1
2.338381917E0,4.040326906E0,1.007896490E1,-1.287513617E0,1.093469096E1
2.348305917E0,6.301145236E-1,9.753888364E0,-5.421749584E-1,9.789245948E0
2.358229917E0,-1.194171590E0,9.381610762E0,7.221111795E-1,9.484835836E0
2.368152917E0,-1.497994816E0,8.187738549E0,1.360641235E0,8.434120914E0
2.378076917E0,-4.765337500E-1,5.967037965E0,1.784152726E0,6.246265079E0
2.387999917E0,4.842659618E-1,3.575395201E0,2.152205715E0,4.201184810E0
2.397923917E0,8.487672061E-1,1.219170776E0,2.337412763E0,2.769527320E0
2.407846917E0,3.928875759E-1,-7.306002402E-1,2.166420296E0,2.319809100E0
2.417770917E0,-3.528723018E-1,-2.380618424E0,1.624271139E0,2.903466837E0
2.427694917E0,-8.537557581E-1,-3.644673597E0,1.015709306E0,3.878686622E0
2.437617917E0,-9.655687009E-1,-4.824071027E0,6.551559556E-1,4.963185823E0
2.447541917E0,-8.421256462E-1,-6.102884572E0,5.318890482E-1,6.183630136E0
2.457464917E0,-5.716849787E-1,-7.507764671E0,4.270209897E-1,7.541598040E0
2.467388917E0,-2.746943342E-1,-9.037400379E0,1.406138420E-1,9.042667463E0
2.477311917E0,6.117265653E-2,-1.014216512E1,-2.094168591E-1,1.014451136E1
2.487235917E0,4.213512370E-1,-1.088712027E1,-1.085992838E0,1.094926048E1
2.497159917E0,6.710232523E-1,-1.129591432E1,-1.717421962E0,1.144541353E1
2.507082917E0,8.222202623E-1,-1.168673169E1,-1.683346728E0,1.183593680E1
2.517006917E0,9.882554591E-1,-1.188183340E1,-1.331022749E0,1.199692608E1
2.526929917E0,1.220479675E0,-1.204597059E1,-7.629879677E-1,1.213165812E1
2.536853917E0,1.351969522E0,-1.209898144E1,-3.714899826E-1,1.217994985E1
2.546777917E0,1.341278180E0,-1.195766594E1,-3.195865881E-1,1.203689899E1
2.556700917E0,1.222051699E0,-1.181126920E1,-3.777038187E-1,1.188032620E1
2.566624917E0,1.000447854E0,-1.156601008E1,-3.723910020E-1,1.161516939E1
