Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),walk-jump
7.490624994E-3,6.995082557E-2,-5.267201096E-2,-6.472008187E-1,6.530975106E-1,1
1.741262499E-2,2.859525266E-1,-5.343887329E-2,-9.129649562E-1,9.581907805E-1,1
2.733562500E-2,4.864298701E-1,-1.146846566E-1,-1.229006377E0,1.326734060E0,1
3.725762499E-2,4.015405780E-1,-1.729296488E-1,-1.381956090E0,1.449462706E0,1
4.718062500E-2,-1.327440745E-1,-1.801410198E-1,-1.039950693E0,1.063752424E0,1
5.710262500E-2,-7.975657699E-1,-3.997109842E-1,-8.717239594E-1,1.247310182E0,1
6.702562500E-2,-1.101556372E0,-4.182677078E-1,-1.012425510E0,1.553505626E0,1
7.694762500E-2,-1.023449850E0,-3.003825778E-1,-1.393967441E0,1.755227767E0,1
8.687062499E-2,-4.355719578E-1,4.223502338E-2,-1.398131828E0,1.465018544E0,1
9.679262500E-2,-1.373157200E-1,5.285751387E-1,-6.340820056E-1,8.368436378E-1,1
1.067156250E-1,-7.966305077E-1,7.088766646E-1,8.117964309E-1,1.340201379E0,1
1.166376250E-1,-8.343427098E-1,5.992510191E-1,9.246319056E-2,1.031396618E0,1
1.265596250E-1,-6.850597858E-3,3.427912635E-1,6.366448402E-2,3.487204432E-1,1
1.364826250E-1,5.051552859E-1,-4.188097447E-2,7.200033313E-1,8.805343128E-1,1
1.464046250E-1,2.638363105E-1,-1.622093636E-1,1.077831295E0,1.121446288E0,1
1.563276250E-1,-1.057965964E-2,-7.818458229E-2,9.880560690E-1,9.912010662E-1,1
1.662496250E-1,-1.008510214E-1,1.124378639E-1,4.538433373E-1,4.783168161E-1,1
1.761726250E-1,5.517257273E-2,3.459189391E-1,-3.765314519E-2,3.523090753E-1,1
1.860946250E-1,2.799120605E-1,4.414855394E-1,-1.726624310E-1,5.505202614E-1,1
1.960176250E-1,-8.444081068E-2,3.821228519E-1,-4.066761875E-1,5.643878506E-1,1
2.059396250E-1,-1.170378685E0,-4.744167656E-2,-1.533976096E0,1.930056901E0,1
2.158626250E-1,-1.002015127E0,2.258370101E-2,-1.478455614E0,1.786162182E0,1
2.257846250E-1,2.904782715E-1,1.999060705E-1,-2.020277912E0,2.050820057E0,1
2.357076250E-1,9.140367508E-1,4.328100255E-1,-2.055489260E0,2.290812912E0,1
2.456296250E-1,1.070947368E0,7.704048684E-1,-1.756256245E0,2.196562752E0,1
2.555516250E-1,7.771788678E-1,9.777301785E-1,-1.749917863E0,2.149924608E0,1
2.654746250E-1,5.642419848E-1,1.340970325E0,-1.590715722E0,2.155677837E0,1
2.753966250E-1,5.192649096E-1,1.751193433E0,-1.239311510E0,2.207307751E0,1
2.853196250E-1,5.204366916E-1,2.172445560E0,-7.065658450E-1,2.342991539E0,1
2.952416250E-1,5.153782654E-1,2.421522329E0,-6.192844570E-1,2.552038084E0,1
3.051646250E-1,-5.867587352E-1,2.718888328E0,-1.210773005E0,3.033580528E0,1
3.150866250E-1,-1.702322989E0,3.070748623E0,-1.247593507E0,3.726109261E0,1
3.250096250E-1,-1.542416552E0,3.309631063E0,-8.002125120E-1,3.738053860E0,1
3.349316250E-1,-7.852003706E-1,3.191365280E0,2.700185716E-2,3.286651954E0,1
3.448546250E-1,-6.067948043E-2,2.552972122E0,2.836057466E-1,2.569393094E0,1
3.547766250E-1,6.228769863E-1,1.824417822E0,2.123749655E-1,1.939479120E0,1
3.646996250E-1,6.949339789E-1,1.291376873E0,3.691756546E-2,1.466952749E0,1
3.746216250E-1,-3.761192232E-2,1.542472977E0,-4.673773026E-1,1.612165961E0,1
3.845446250E-1,-4.824239427E-1,2.517544719E0,-9.625838435E-1,2.738125623E0,1
